name_en,name_bn,short_name,institution_type,division,district,upazila,address,phone,email,website,established_year,education_level,education_board
National Institute of Textile Engineering and Research,ন্যাশনাল ইনস্টিটিউট অফ টেক্সটাইল ইঞ্জিনিয়ারিং অ্যান্ড রিসার্চ,NITER,institute,Dhaka,Dhaka,Savar,"Savar, Dhaka",+88027795052,info@niter.edu.bd,https://www.niter.edu.bd,2010,textile,UGC
Institute of Leather Engineering and Technology,ইনস্টিটিউট অফ লেদার ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি,ILET,institute,Dhaka,Dhaka,Hazaribagh,"Hazaribagh, Dhaka",+88029555000,info@ilet.gov.bd,https://www.ilet.gov.bd,1947,leather,Dhaka Technical
Alia Madrasa,আলিয়া মাদ্রাসা,Dhaka Alia,madrasa,Dhaka,Dhaka,Bakshibazar,"Bakshibazar, Dhaka",+88029585100,principal@dhakaalia.gov.bd,https://www.dhakaalia.gov.bd,1780,higher_secondary,BEFAQ
Jamia Rahmania Arabia Madrasa,জামিয়া রাহমানিয়া আরাবিয়া মাদ্রাসা,Rahmania,madrasa,Dhaka,Dhaka,Mohammadpur,"Mohammadpur, Dhaka",+88029113100,info@jamia-rahmania.org,https://www.jamia-rahmania.org,1986,higher_secondary,BEFAQ
Al-Jamiatul Ahlia Darul Ulum Moinul Islam,আল-জামিয়াতুল আহলিয়া দারুল উলূম মঈনুল ইসলাম,Hathazari Madrasa,madrasa,Chittagong,Chittagong,Hathazari,"Hathazari, Chittagong",+880312260000,info@hathazari.edu.bd,https://www.hathazari.edu.bd,1896,higher_secondary,BEFAQ
Islamic Arabic University,ইসলামিক আরবিক ইউনিভার্সিটি,IAU,madrasa,Dhaka,Dhaka,Dhaka,"House 41, Road 7, Dhanmondi R/A, Dhaka 1205",+88029666080,info@iau.edu.bd,https://www.iau.edu.bd,2013,graduate,IAU
Chittagong University of Engineering and Technology,চট্টগ্রাম ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি,CUET,university,Chittagong,Chittagong,Chittagong,"Raozan, Chittagong 4349",+880312255900,registrar@cuet.ac.bd,https://www.cuet.ac.bd,2003,graduate,UGC
Khulna University of Engineering and Technology,খুলনা ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি,KUET,university,Khulna,Khulna,Khulna,"Fulbarigate, Khulna 9203",+880412774171,registrar@kuet.ac.bd,https://www.kuet.ac.bd,2003,graduate,UGC
Rajshahi University of Engineering and Technology,রাজশাহী ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি,RUET,university,Rajshahi,Rajshahi,Rajshahi,"Kazla, Rajshahi 6204",+880721750742,registrar@ruet.ac.bd,https://www.ruet.ac.bd,2003,graduate,UGC
Jashore University of Science and Technology,যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,JUST,university,Khulna,Jashore,Jashore,"Jashore 7408",+88042163400,registrar@just.edu.bd,https://www.just.edu.bd,2014,graduate,UGC
Pabna University of Science and Technology,পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,PUST,university,Rajshahi,Pabna,Pabna,"Pabna 6600",+880731659090,registrar@pust.ac.bd,https://www.pust.ac.bd,2008,graduate,UGC
Begum Rokeya University,বেগম রোকেয়া বিশ্ববিদ্যালয়,BRUR,university,Rangpur,Rangpur,Rangpur,"Park Mor, Rangpur 5400",+88052155400,registrar@brur.ac.bd,https://www.brur.ac.bd,2008,graduate,UGC
Noakhali Science and Technology University,নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,NSTU,university,Chittagong,Noakhali,Noakhali,"Sonapur, Noakhali 3814",+88032171481,registrar@nstu.edu.bd,https://www.nstu.edu.bd,2006,graduate,UGC
Cumilla University,কুমিল্লা বিশ্ববিদ্যালয়,CoU,university,Chittagong,Comilla,Comilla,"Kotbari, Comilla 3506",+88081765870,registrar@cou.ac.bd,https://www.cou.ac.bd,2006,graduate,UGC
Bangladesh University,বাংলাদেশ বিশ্ববিদ্যালয়,BU,university,Dhaka,Dhaka,Dhaka,"5/B, Satmasjid Road, Dhanmondi, Dhaka",+88029666080,info@bangladeshuniversity.edu.bd,https://www.bangladeshuniversity.edu.bd,2001,graduate,UGC
University of Development Alternative,ইউনিভার্সিটি অফ ডেভেলপমেন্ট অলটারনেটিভ,UDA,university,Dhaka,Dhaka,Dhanmondi,"House 471, Road 8, Dhanmondi, Dhaka",+88029120302,info@uoda.edu.bd,https://www.uoda.edu.bd,2002,graduate,UGC
Daffodil International University,ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি,DIU,university,Dhaka,Dhaka,Dhanmondi,"102 Shukrabad, Dhanmondi, Dhaka 1207",+88029134880,info@daffodilvarsity.edu.bd,https://www.daffodilvarsity.edu.bd,2002,graduate,UGC
Green University of Bangladesh,গ্রিন ইউনিভার্সিটি অফ বাংলাদেশ,GUB,university,Dhaka,Dhaka,Purbachal,"Purbachal American City, Kanchan, Rupganj, Narayanganj",+88029617938,info@green.edu.bd,https://www.green.edu.bd,2003,graduate,UGC
WASA,ওয়াসা,WASA,institute,Dhaka,Dhaka,Dhaka,"98 Kazi Nazrul Islam Avenue, Dhaka",+88029557900,info@dwasa.org.bd,https://www.dwasa.org.bd,1963,technical,NA

# Medical Colleges
Dhaka Medical College,ঢাকা মেডিকেল কলেজ,DMC,medical,Dhaka,Dhaka,Dhaka,"Secretariat Road, Dhaka",+88029556601,principal@dmc.edu.bd,https://www.dmc.edu.bd,1946,graduate,BMDC
Sir Salimullah Medical College,স্যার সলিমুল্লাহ মেডিকেল কলেজ,SSMC,medical,Dhaka,Dhaka,Mitford,"Mitford Hospital, Dhaka",+88029514002,principal@ssmc.edu.bd,https://www.ssmc.edu.bd,1972,graduate,BMDC
Mymensingh Medical College,ময়মনসিংহ মেডিকেল কলেজ,MMC,medical,Mymensingh,Mymensingh,Mymensingh,"Medical College Road, Mymensingh",+8809155401,principal@mmc.edu.bd,https://www.mmc.edu.bd,1924,graduate,BMDC
Chittagong Medical College,চট্টগ্রাম মেডিকেল কলেজ,CMC,medical,Chittagong,Chittagong,Chittagong,"Medical College Road, Chittagong",+88031616800,principal@cmc.edu.bd,https://www.cmc.edu.bd,1957,graduate,BMDC
Rajshahi Medical College,রাজশাহী মেডিকেল কলেজ,RMC,medical,Rajshahi,Rajshahi,Rajshahi,"Medical College Road, Rajshahi",+880721772071,principal@rmc.edu.bd,https://www.rmc.edu.bd,1958,graduate,BMDC
Sylhet MAG Osmani Medical College,সিলেট এমএজি ওসমানী মেডিকেল কলেজ,SOMC,medical,Sylhet,Sylhet,Sylhet,"Medical College Road, Sylhet",+880821713073,principal@somc.edu.bd,https://www.somc.edu.bd,1962,graduate,BMDC
Sher-e-Bangla Medical College,শের-ই-বাংলা মেডিকেল কলেজ,SBMC,medical,Barisal,Barisal,Barisal,"Medical College Road, Barisal",+8804312173524,principal@sbmc.edu.bd,https://www.sbmc.edu.bd,1964,graduate,BMDC
Rangpur Medical College,রংপুর মেডিকেল কলেজ,RpMC,medical,Rangpur,Rangpur,Rangpur,"Medical College Road, Rangpur",+88052163508,principal@rangpurmc.edu.bd,https://www.rangpurmc.edu.bd,1970,graduate,BMDC
Cumilla Medical College,কুমিল্লা মেডিকেল কলেজ,CuMC,medical,Chittagong,Comilla,Comilla,"Medical College Road, Comilla",+88081768656,principal@cumillamc.edu.bd,https://www.cumillamc.edu.bd,1979,graduate,BMDC
Khulna Medical College,খুলনা মেডিকেল কলেজ,KMC,medical,Khulna,Khulna,Khulna,"Medical College Road, Khulna",+88041273305,principal@kmc.edu.bd,https://www.kmc.edu.bd,1980,graduate,BMDC

# More Private Universities
Northern University Bangladesh,নর্দার্ন ইউনিভার্সিটি বাংলাদেশ,NUB,university,Dhaka,Dhaka,Dhaka,"House 11, Road 17, Banani, Dhaka",+88029845555,info@nub.ac.bd,https://www.nub.ac.bd,2002,graduate,UGC
Southeast University,সাউথইস্ট ইউনিভার্সিটি,SEU,university,Dhaka,Dhaka,Dhaka,"House 64, Road 18, Block B, Banani, Dhaka",+88029885879,info@seu.ac.bd,https://www.seu.ac.bd,2002,graduate,UGC
Stamford University Bangladesh,স্টামফোর্ড ইউনিভার্সিটি বাংলাদেশ,SUB,university,Dhaka,Dhaka,Siddeshwari,"51 Siddeshwari Road, Dhaka",+88029661252,info@stamforduniversity.edu.bd,https://www.stamforduniversity.edu.bd,2002,graduate,UGC
City University,সিটি ইউনিভার্সিটি,CU,university,Dhaka,Dhaka,Dhaka,"Khagan, Birulia, Savar, Dhaka",+88027795053,info@cityuniversity.ac.bd,https://www.cityuniversity.ac.bd,2002,graduate,UGC
Presidency University,প্রেসিডেন্সি ইউনিভার্সিটি,PU,university,Dhaka,Dhaka,Gulshan,"11/G, Gulshan, Dhaka 1212",+88029845566,info@presidency.edu.bd,https://www.presidency.edu.bd,2003,graduate,UGC
Uttara University,উত্তরা ইউনিভার্সিটি,UU,university,Dhaka,Dhaka,Uttara,"House 4, Road 15, Sector 6, Uttara, Dhaka",+88028972573,info@uttarauniversity.edu.bd,https://www.uttarauniversity.edu.bd,2003,graduate,UGC
Bangladesh University of Business and Technology,বাংলাদেশ ইউনিভার্সিটি অফ বিজনেস অ্যান্ড টেকনোলজি,BUBT,university,Dhaka,Dhaka,Mirpur,"Rupnagar R/A, Mirpur 2, Dhaka",+88029010501,info@bubt.ac.bd,https://www.bubt.ac.bd,2003,graduate,UGC
Prime University,প্রাইম ইউনিভার্সিটি,Prime,university,Dhaka,Dhaka,Mirpur,"114/1, Mirpur, Dhaka",+88029010101,info@primeuniversity.edu.bd,https://www.primeuniversity.edu.bd,2003,graduate,UGC
Eastern University,ইস্টার্ন ইউনিভার্সিটি,EU,university,Dhaka,Dhaka,Dhanmondi,"House 43, Road 9, Dhanmondi, Dhaka",+88029635577,info@easternuni.edu.bd,https://www.easternuni.edu.bd,2003,graduate,UGC
World University of Bangladesh,ওয়ার্ল্ড ইউনিভার্সিটি অফ বাংলাদেশ,WUB,university,Dhaka,Dhaka,Dhanmondi,"House 3, Road 5, Dhanmondi, Dhaka",+88029677747,info@wub.edu.bd,https://www.wub.edu.bd,2003,graduate,UGC

# More Top Colleges
New Government Degree College,নিউ গভর্নমেন্ট ডিগ্রি কলেজ,NGDC,college,Dhaka,Dhaka,Dhaka,"New Market, Dhaka",+88029555197,principal@ngdc.edu.bd,https://www.ngdc.edu.bd,1965,higher_secondary,Dhaka Board
Government Science College,সরকারি বিজ্ঞান কলেজ,GSC,college,Dhaka,Dhaka,Farmgate,"Farmgate, Dhaka",+88029113456,principal@gsc.edu.bd,https://www.gsc.edu.bd,1956,higher_secondary,Dhaka Board
Tejgaon College,তেজগাঁও কলেজ,Tejgaon,college,Dhaka,Dhaka,Tejgaon,"Farmgate, Dhaka",+88029874561,principal@tejgaoncollege.edu.bd,https://www.tejgaoncollege.edu.bd,1961,higher_secondary,Dhaka Board
